Concello,Albergue,Provincia
Abadín,ALBERGUE XACOBEO Abadín,Lugo
Arzúa,Albergue Xacobeo Arzúa,A_Coruña
Arzúa,Albergue Xacobeo Ribadiso,A_Coruña
A Gudiña,Albergue Xacobeo A Gudiña,Ourense
Begonte,Albergue Xacobeo Baamonde,Lugo
Betanzos,Albergue Xacobeo Betanzos,A_Coruña
Boimorto,Albergue Xacobeo Boimorto,A_Coruña
Carral,Albergue Xacobeo Sergude,A_Coruña
Castroverde,Albergue Xacobeo Castroverde,Lugo
Ferreiros,Albergue Xacobeo Ferreiros,Lugo
Ferrol,Albergue Público de Peregrinos de Ferrol,A_Coruña
Fonsagrada,Albergue Xacobeo Fonsagrada,Lugo
Friol,Albergue Xacobeo A Cabana,Lugo
Guntín,Albergue Xacobeo Retorta,Lugo
Lalín,ALBERGUE LALIN,Pontevedra
Lugo,Albergue Xacobeo Lugo,Lugo
Lusío,Albergue Xacobeo Casa Forte de Lusío,Lugo
Melide,Albergue Xacobeo Melide,A_Coruña
Merlán,Albergue Xacobeo Seixas,Lugo
Mesía,Albergue Xacobeo Bruma,A_Coruña
Miño,Albergue Xacobeo Miño,A_Coruña
Monterroso,Albergue Xacobeo Ligonde,Lugo
Mondoñedo,Albergue Xacobeo Mondoñedo,Lugo
Muxía,Albergue Xacobeo Muxía,A_Coruña
Negreira,Albergue Xacobeo Negreira,A_Coruña
O Pedrouzo (O Pino),Albergue Xacobeo Arca,A_Coruña
O Pino,Albergue Xacobeo Santa Irene,A_Coruña
O Pino-Valga,ALBERGUE VALGA,Pontevedra
O Saviñao,Albergue Xacobeo Diamondi,Lugo
Ordes,Albergue Xacobeo Poulo,A_Coruña
Ourense,Albergue OURENSE,Ourense
Palas de Rei,Albergue Xacobeo Mato-Casanova,Lugo
Palas de Rei,Albergue Xacobeo Os Chacotes,Lugo
Palas de Rei,Albergue Xacobeo Palas de Rei,Lugo
Pedrafita do Cebreiro,ALBERGUE XACOBEO HOSPITAL DA CONDESA,Lugo
Pedrafita do Cebreiro,Albergue Xacobeo O Cebreiro,Lugo
Pontecesures,Albergue Xacobeo Pontecesures,Pontevedra
Porriño,ALBERGUE PORRINO,Pontevedra
Portomarín,Albergue Xacobeo Gonzar,Lugo
Portomarín,ALBERGUE XACOBEO Hospital da Cruz,Lugo
Portomarín,Albergue Xacobeo Portomarín,Lugo
Redondela,Albergue Xacobeo Redonela,Pontevedra
Ribadeo,Albergue Xacobeo Ribadeo,Lugo
San Cristobo de Cea,MOSTEIRO DE OSEIRA,Ourense
Sandiás,ALBERGUE SANDIÁS,Ourense
Sarria,Alberue Xacobeo Barbadelo,Lugo
Sarria,Albergue Xacobeo Calvor,Lugo
Sarria,Albergue Xacobeo Sarria,Lugo
Santiago de Compostela,Albergue Xacobeo Monte do Gozo,A_Coruña
Santiago de Compostela,Albergue Xacobeo San Lázaro,A_Coruña
Silleda,ALBERGUE BANDEIRA,Pontevedra
Teo,Albergue Xacobeo TEO,A_Coruña
Triacastela,Albergue Xacobeo Triacastela,Lugo
Trasmiras,ALBERGUE VILADERREI,Ourense
Tui,ALBERGUE TUI,Pontevedra
Vedra,ALBERGUE VEDRA,A_Coruña
Verín,ALBERGUE VERIN,Ourense
Vigo,Albergue Xacobeo Vigo,Pontevedra
Vilalba,Albergue Xacobeo Vilalba,Lugo
Vilasantar,Albergue Xacobeo Vilasantar,A_Coruña
Vilar de Barrio,ALBERGUE VILAR DE BARRIO,Ourense
Xinzo de Limia,ALBERGUE XINZO DE LIMIA,Ourense
