Ubicacion,ID
O Cebreiro,25071
Barbadelo,25813
Mato Casanova,25814
Ribadiso,25845
Vilalba,25074
O Pino,25070
Guntin,25855
Monte do Gozo,25069
Poulo,25846
Redondela,25853
Obradoiro,25075
Fisterra,25854
Pereg_Barbadelo_antesSarria,25866
Pereg_Barbadelo_desdeSarria,35842
Pereg_Ribadiso (Primitivo),25893
Pereg_O Pino (Francés),25133
Pereg_O Pino (Primitivo),35775
Pereg_O Pino (Norte),25864
Pereg_Mato Casanova_antesSarria,25868
Pereg_Mato Casanova_desdeSarria,35843
Pereg_Vilalba,25143
Pereg_Fisterra,25858
Pereg_Redondela,25857
Pereg_Guntin,25816
Pereg_Obradoiro (Inglés),25892
Pereg_Obradoiro (Portugués),25894
Pereg_Ribadiso (Francés),25865
Pereg_Unicos,25168
Pereg_Monte do Gozo (Francés),25134
Pereg_Monte do Gozo (Primtivo),35771
Pereg_Monte do Gozo (Norte),35772
Pereg_Obradoiro (Francés),25135
Pereg_Obradoiro (Primitivo),35773
Pereg_Obradoiro (Norte),35774
Pereg_Poulo,25859
Pereg_O Cebreiro,25139
